Address,City,state,matchAddress,Style,Style2,yearBuilt,propertyRank,currentUse,buildingName,communityArea,architect,buildingType,chicagoLandmarkLink,latitude,longitude,imageLink,photoCredit,photoCreditLink,webLink
2815 N Racine,Chicago,IL,2815-n-racine,Unclassified Style,,,,,,,,,,41.93308,-87.658382,https://chicagoarchitecturedata.com/static/images/building_images/2815-n-racine-1454914885.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/2815-n-racine/
2615 W North Avenue,Chicago,IL,2615-w-north-avenue,Unclassified Style,,1904,(GN),,,West Town ,"Sorensen, Charles F.",,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1601203004&formNumber=242608137,41.909985,-87.692787,https://chicagoarchitecturedata.com/static/images/building_images/2615-w-north-avenue-146032190.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/2615-w-north-avenue/
2451 N Sacramento Avenue,Chicago,IL,2451-n-sacramento-avenue,Unclassified Style,,,,,,,,,,41.926402,-87.702016,https://chicagoarchitecturedata.com/static/images/building_images/2451-n-sacramento-avenue-1462741882.jpg.300x300_q85_crop.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/2451-n-sacramento-avenue/
2101 S. Millard Ave,Chicago,IL,2101-s-millard-ave,Unclassified Style,,1893,,,,,,,,41.853806,-87.715963,https://chicagoarchitecturedata.com/static/images/building_images/2101-s-millard-ave-1454260608.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/2101-s-millard-ave/
209 S Central Park Ave,Chicago,IL,209-s-central-park-ave,Unclassified Style,,1904,,,,,,,,41.877928,-87.715289,https://chicagoarchitecturedata.com/static/images/building_images/209-s-central-park-ave-1448758383.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/209-s-central-park-ave/
1 E Balbo Ave,Chicago,IL,1-e-balbo-ave,Unclassified Style,,,,,7th Street Hotel,,,,,41.873003,-87.627477,https://chicagoarchitecturedata.com/static/images/building_images/1-e-balbo-ave-1447379075.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1-e-balbo-ave/
1965 N Milwaukee Avenue,Chicago,IL,1965-n-milwaukee-avenue,Unclassified Style,,1916,,,,,,,,41.917346,-87.68782,https://chicagoarchitecturedata.com/static/images/building_images/1965-n-milwaukee-avenue-1462741415.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1965-n-milwaukee-avenue/
1607 W Howard Street,Chicago,IL,1607-w-howard-street,Unclassified Style,,,,,Howard Building,,,,,42.019112,-87.671681,https://chicagoarchitecturedata.com/static/images/building_images/1607-w-howard-street-1447381084.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1607-w-howard-street/
154 N Jefferson Street,Chicago,IL,154-n-jefferson-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709322013&formNumber=282714020,41.884973,-87.643187,https://chicagoarchitecturedata.com/static/images/building_images/154-n-jefferson-street-1460155482.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/154-n-jefferson-street/
1426 W Lunt Avenue,Chicago,IL,1426-w-lunt-avenue,Unclassified Style,,1918,,,Lunt Arms,,,,,42.009633,-87.667058,https://chicagoarchitecturedata.com/static/images/building_images/1426-w-lunt-avenue-1450028085.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1426-w-lunt-avenue/
1230 N Milwaukee Avenue,Chicago,IL,1230-n-milwaukee-avenue,Unclassified Style,,,,,,,,,,41.90394,-87.66788,https://chicagoarchitecturedata.com/static/images/building_images/1230-n-milwaukee-avenue-1462741178.jpg.300x300_q85_crop.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1230-n-milwaukee-avenue/
1218 W Morse Ave,Chicago,IL,1218-w-morse-ave,Unclassified Style,,1929,,,Morseland Building,,,,,42.008194,-87.662578,https://chicagoarchitecturedata.com/static/images/building_images/1218-w-morse-ave-1450236371.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1218-w-morse-ave/
1205 N Milwaukee Avenue,Chicago,IL,1205-n-milwaukee-avenue,Unclassified Style,,1936,,,Starsiak Clothing Building,,,,,41.903736,-87.666538,https://chicagoarchitecturedata.com/static/images/building_images/1205-n-milwaukee-avenue-1462740767.jpg.300x300_q85_crop.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1205-n-milwaukee-avenue/
1115 W Taylor Street,Chicago,IL,1115-w-taylor-street,Unclassified Style,,1869,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717427003&formNumber=280129030,41.869235,-87.654883,https://chicagoarchitecturedata.com/static/images/building_images/1115-w-taylor-street-1513316633.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1115-w-taylor-street/
1072 W Taylor Street,Chicago,IL,1072-w-taylor-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717419022&formNumber=280129027,41.869731,-87.653906,https://chicagoarchitecturedata.com/static/images/building_images/1076-w-roosevelt-road-141738306.jpg.400x400_q85_crop_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/1072-w-taylor-street/
11952 S Streetewart Avenue,Chicago,IL,11952-s-streetewart-avenue-1,Unclassified Style,,1894,(GN),,,West Pullman ,,,http://webapps1.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2528107036&formNumber=533402002,41.676373,-87.632584,https://chicagoarchitecturedata.com/static/images/assessor_images/25281070360000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/11952-s-streetewart-avenue-1/
11301 S Champlain Avenue,Chicago,IL,11301-s-champlain-avenue,Unclassified Style,,1878,(GN),,,Pullman ,"Beman, Solon S.",2-3 Flat,http://webapps1.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2522221001&formNumber=50SPUL149,41.689064,-87.606844,https://chicagoarchitecturedata.com/static/images/assessor_images/25222210010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/11301-s-champlain-avenue/
5601 S Peoria Street,Chicago,IL,5601-s-peoria-street,Unclassified Style,,,(GN),,,Englewood ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2017214001&formNumber=681613013,41.792326,-87.647192,https://chicagoarchitecturedata.com/static/images/assessor_images/20172140010000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/5601-s-peoria-street/
245 W 60th Street,Chicago,IL,245-w-60th-street,Unclassified Style,,1893,(GN),,,Englewood ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2016408005&formNumber=680301012,41.78517,-87.632178,https://chicagoarchitecturedata.com/static/images/assessor_images/20164080050000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/245-w-60th-street/
207 E 50th Street,Chicago,IL,207-e-50th-street,Unclassified Style,,,(GN),,,Grand Boulevard ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2010121004&formNumber=380311039,41.803601,-87.62066,https://chicagoarchitecturedata.com/static/images/assessor_images/20101210040000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/207-e-50th-street/
536 W 45th Street,Chicago,IL,536-w-45th-street,Unclassified Style,,1884,(GN),,,New City ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2004316033&formNumber=611105022,41.812903,-87.639793,https://chicagoarchitecturedata.com/static/images/assessor_images/20043160330000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/536-w-45th-street/
444 E 42nd Place,Chicago,IL,444-e-42nd-place,Unclassified Style,,1888,(GN),,,Grand Boulevard ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2003220031&formNumber=380203039,41.817835,-87.614825,https://chicagoarchitecturedata.com/static/images/assessor_images/20032200310000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/444-e-42nd-place/
640 E Oakwood Boulevard,Chicago,IL,640-e-oakwood-boulevard,Unclassified Style,,,(GN),,,Grand Boulevard ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2003201047&formNumber=380414035,41.823009,-87.61029,https://chicagoarchitecturedata.com/static/images/assessor_images/20032010470000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/640-e-oakwood-boulevard/
3535 S Calumet Avenue,Chicago,IL,3535-s-calumet-avenue,Unclassified Style,,1888,(GN),,,Douglas ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1734312011&formNumber=350208100,41.830016,-87.618198,https://chicagoarchitecturedata.com/static/images/assessor_images/17343120110000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/3535-s-calumet-avenue/
3529 S Indiana Avenue,Chicago,IL,3529-s-indiana-avenue,Unclassified Style,,1858,(GN),,,Douglas ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1734309014&formNumber=350208104,41.830217,-87.621398,https://chicagoarchitecturedata.com/static/images/assessor_images/17343090140000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/3529-s-indiana-avenue/
253 W 25th Place,Chicago,IL,253-w-25th-place,Unclassified Style,,,(GN),,,Armour Square ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1728233005&formNumber=340105034,41.846156,-87.633931,https://chicagoarchitecturedata.com/static/images/assessor_images/17282330050000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/253-w-25th-place/
211 W 24th Street,Chicago,IL,211-w-24th-street,Unclassified Style,,1888,(GN),,,Armour Square ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1728222021&formNumber=340105030,41.848906,-87.632469,https://chicagoarchitecturedata.com/static/images/assessor_images/17282220210000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/211-w-24th-street/
239 W 23rd Street,Chicago,IL,239-w-23rd-street,Unclassified Style,,1888,(GN),,,Armour Square ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1728213013&formNumber=340105026,41.8507,-87.63352,https://chicagoarchitecturedata.com/static/images/assessor_images/17282130130000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/239-w-23rd-street/
211 W 22nd Place,Chicago,IL,211-w-22nd-place,Unclassified Style,,,(GN),,,Armour Square ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1728209023&formNumber=340105022,41.851967,-87.632586,https://chicagoarchitecturedata.com/static/images/assessor_images/17282090230000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/211-w-22nd-place/
33 W Cullerton Street,Chicago,IL,33-w-cullerton-street,Unclassified Style,,,(GN),,,Near South Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1721419006&formNumber=330112003,41.855339,-87.628487,https://chicagoarchitecturedata.com/static/images/assessor_images/17214190060000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/33-w-cullerton-street/
2203 W Washburne Avenue,Chicago,IL,2203-w-washburne-avenue,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1719105022&formNumber=280124037,41.865505,-87.681369,https://chicagoarchitecturedata.com/static/images/assessor_images/17191050220000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/2203-w-washburne-avenue/
504 S Oakley Avenue,Chicago,IL,504-s-oakley-avenue,Unclassified Style,,1889,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1718128036&formNumber=282710054,41.874937,-87.684143,https://chicagoarchitecturedata.com/static/images/assessor_images/17181280360000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/504-s-oakley-avenue/
311 S Leavitt Street,Chicago,IL,311-s-leavitt-street,Unclassified Style,,1879,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1718123004&formNumber=282710042,41.877206,-87.681098,https://chicagoarchitecturedata.com/static/images/assessor_images/17181230040000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/311-s-leavitt-street/
211 S Throop Street,Chicago,IL,211-s-throop-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717113006&formNumber=282708019,41.878638,-87.659276,https://chicagoarchitecturedata.com/static/images/assessor_images/17171130060000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/211-s-throop-street/
209 S Throop Street,Chicago,IL,209-s-throop-street,Unclassified Style,,1889,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717113005&formNumber=282708019,41.878693,-87.659278,https://chicagoarchitecturedata.com/static/images/assessor_images/17171130050000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/209-s-throop-street/
207 S Throop Street,Chicago,IL,207-s-throop-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1717113004&formNumber=282708019,41.878736,-87.65927,https://chicagoarchitecturedata.com/static/images/assessor_images/17171130040000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/207-s-throop-street/
114 S Clinton Street,Chicago,IL,114-s-clinton-street,Unclassified Style,,1905,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1716107023&formNumber=282706011,41.88047,-87.64124,https://chicagoarchitecturedata.com/static/images/assessor_images/17161070230000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/114-s-clinton-street/
300 W Carroll Avenue,Chicago,IL,300-w-carroll-avenue,Unclassified Style,,,Possesses potentially significant architectural or historical features(OR),,,Near North Side ,,Site,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709400032&formNumber=084204002,41.83861,-87.686611,https://chicagoarchitecturedata.com/static/images/assessor_images/17094000320000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/300-w-carroll-avenue/
118 N Clinton Street,Chicago,IL,118-n-clinton-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709332015&formNumber=282714016,41.883871,-87.641671,https://chicagoarchitecturedata.com/static/images/assessor_images/17093320150000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/118-n-clinton-street/
145 N Jefferson Street,Chicago,IL,145-n-jefferson-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709323003&formNumber=282714019,41.884173,-87.642636,https://chicagoarchitecturedata.com/static/images/assessor_images/17093230030000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/145-n-jefferson-street/
216 N Jefferson Street,Chicago,IL,216-n-jefferson-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709314018&formNumber=282714021,41.886487,-87.643139,https://chicagoarchitecturedata.com/static/images/assessor_images/17093140180000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/216-n-jefferson-street/
220 N Jefferson Street,Chicago,IL,220-n-jefferson-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709314018&formNumber=282714021,41.878643,-87.642937,https://chicagoarchitecturedata.com/static/images/assessor_images/17093140180000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/220-n-jefferson-street/
300 N Jefferson Street,Chicago,IL,300-n-jefferson-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709309002&formNumber=282714024,41.887437,-87.642912,https://chicagoarchitecturedata.com/static/images/assessor_images/17093090020000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/300-n-jefferson-street/
59 W Hubbard Street,Chicago,IL,59-w-hubbard-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709261003&formNumber=084207090,41.889799,-87.630308,https://chicagoarchitecturedata.com/static/images/assessor_images/17092610030000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/59-w-hubbard-street/
26 W Hubbard Street,Chicago,IL,26-w-hubbard-street,Unclassified Style,,1925,Possesses potentially significant architectural or historical features(OR),D & L Office Furniture,,Near North Side ,,Commercial,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709255021&formNumber=084207044,41.890294,-87.629138,https://chicagoarchitecturedata.com/static/images/assessor_images/17092550210000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/26-w-hubbard-street/
425 N La Salle Drive,Chicago,IL,425-n-la-salle-drive,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709253009&formNumber=084207096,41.889322,-87.632554,https://chicagoarchitecturedata.com/static/images/assessor_images/17092530090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/425-n-la-salle-drive/
152 W Illinois Street,Chicago,IL,152-w-illinois-street,Unclassified Style,,,Possesses potentially significant architectural or historical features(OR),,,Near North Side ,,Stable,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709245011&formNumber=084207052,41.8911,-87.633029,https://chicagoarchitecturedata.com/static/images/assessor_images/17092450110000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/152-w-illinois-street/
210 W Illinois Street,Chicago,IL,210-w-illinois-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709244015&formNumber=084207093,41.890961,-87.634536,https://chicagoarchitecturedata.com/static/images/assessor_images/17092440150000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/210-w-illinois-street/
154 W Erie Street,Chicago,IL,154-w-erie-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709217009&formNumber=084207084,41.894248,-87.633378,https://chicagoarchitecturedata.com/static/images/assessor_images/17092170090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/154-w-erie-street/
154 W Superior Street,Chicago,IL,154-w-superior-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709203014&formNumber=084207100,41.895851,-87.633384,https://chicagoarchitecturedata.com/static/images/assessor_images/17092170090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/154-w-superior-street/
308 W Erie Street,Chicago,IL,308-w-erie-street,Unclassified Style,,1937,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709215008&formNumber=084207086,41.894209,-87.636189,https://chicagoarchitecturedata.com/static/images/assessor_images/17092150080000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/308-w-erie-street/
206 W Huron Street,Chicago,IL,206-w-huron-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709209024&formNumber=084207092,41.894906,-87.634539,https://chicagoarchitecturedata.com/static/images/assessor_images/17092090240000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/206-w-huron-street/
16 W Superior Street,Chicago,IL,16-w-superior-street,Unclassified Style,,,(GN),,,Near North Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709206016&formNumber=084207099,41.895968,-87.628923,https://chicagoarchitecturedata.com/static/images/assessor_images/17092060160000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/16-w-superior-street/
656 W Hubbard Street,Chicago,IL,656-w-hubbard-street,Unclassified Style,,,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1709106009&formNumber=243201004,41.890209,-87.645089,https://chicagoarchitecturedata.com/static/images/assessor_images/17091060090000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/656-w-hubbard-street/
214 N Peoria Street,Chicago,IL,214-n-peoria-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1708424011&formNumber=282715019,41.885736,-87.649901,https://chicagoarchitecturedata.com/static/images/assessor_images/17084240110000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/214-n-peoria-street/
160 N Loomis Street,Chicago,IL,160-n-loomis-street,Unclassified Style,,,(GN),,,Near West Side ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1708323002&formNumber=282716016,41.884772,-87.662638,https://chicagoarchitecturedata.com/static/images/assessor_images/17083230020000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/160-n-loomis-street/
516 N Armour Street,Chicago,IL,516-n-armour-street,Unclassified Style,,1889,(GN),,,West Town ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1708121027&formNumber=242601038,41.891755,-87.665624,https://chicagoarchitecturedata.com/static/images/assessor_images/17081210270000.jpg,Cook County Assessor,http://www.cookcountyassessor.com,https://chicagoarchitecturedata.com/buildings/516-n-armour-street/
